workload_counter,input_size,ns_per_byte
0,1048576,77,74,75,76,77
5,1048576,70,70,70,71,70
10,2097152,75,76,75,76,75
15,2097152,70,70,70,70,70
20,3145728,75,75,75,76,74
25,3145728,70,70,70,70,70
30,4194304,76,76,76,75,76
35,4194304,70,70,70,70,70
40,5242880,76,76,75,75,75
45,5242880,70,70,70,70,70
50,6291456,76,75,77,76,76
55,6291456,70,70,70,70,70
60,7340032,76,76,75,76,76
65,7340032,70,70,70,70,70
70,8388608,76,76,76,76,76
75,8388608,70,70,70,70,70
80,9437184,75,75,75,75,75
85,9437184,70,70,70,70,70
90,10485760,75,75,74,75,75
95,10485760,70,70,70,70,70
100,11534336,75,75,75,75,75
105,11534336,70,70,70,70,70
110,12582912,75,75,75,75,76
115,12582912,70,70,70,70,70
120,13631488,75,76,76,75,76
125,13631488,70,70,70,70,70
130,14680064,75,75,76,75,76
135,14680064,70,70,70,70,70
140,15728640,1,1,1,1,1
145,15728640,70,70,70,70,70
150,16777216,7,6,6,6,6
155,16777216,1,1,1,1,1
160,17825792,11,10,10,11,11
165,17825792,5,5,5,5,5
170,18874368,14,13,13,13,14
175,18874368,9,9,9,9,9
180,19922944,17,17,17,17,17
185,19922944,12,12,12,12,12
190,20971520,20,19,19,19,19
195,20971520,15,15,15,15,15
200,22020096,22,22,22,21,21
205,22020096,18,18,18,18,18
210,23068672,24,25,25,25,24
215,23068672,20,20,20,20,20
220,24117248,27,27,27,27,28
225,24117248,22,22,22,22,22
230,25165824,29,29,29,30,30
235,25165824,24,24,24,24,24
240,26214400,31,31,31,31,32
245,26214400,26,26,26,26,26
250,27262976,33,34,33,33,33
255,27262976,28,28,28,28,28
260,28311552,35,35,35,34,34
265,28311552,29,29,29,29,29
270,29360128,37,36,36,36,36
275,29360128,31,31,31,31,31
280,30408704,38,37,38,38,37
285,30408704,32,32,32,32,32
290,31457280,2,2,2,2,2
295,31457280,33,33,33,33,33
300,32505856,4,4,4,4,4
305,32505856,35,35,35,35,35
310,33554432,7,7,7,7,7
315,33554432,1,1,1,1,1
320,34603008,8,8,9,9,8
325,34603008,3,3,3,3,3
330,35651584,11,10,10,10,11
335,35651584,5,5,5,5,5
340,36700160,13,12,13,14,13
345,36700160,7,7,7,7,7
350,37748736,15,15,14,14,14
355,37748736,9,9,9,9,9
360,38797312,16,17,16,16,16
365,38797312,10,10,10,10,10
370,39845888,18,18,18,18,18
375,39845888,12,12,12,12,12
380,40894464,20,20,20,19,20
385,40894464,14,13,14,13,13
workload_counter,avg_freq,ns_per_byte
0,1048576,159,157,158,157,158
5,1048576,155,155,155,155,155
10,2097152,158,158,158,157,158
15,2097152,155,155,155,155,155
20,3145728,158,157,158,158,158
25,3145728,155,155,155,155,155
30,4194304,158,156,157,157,157
35,4194304,155,155,155,155,155
40,5242880,158,157,157,158,158
45,5242880,155,155,155,155,155
50,6291456,157,157,157,157,157
55,6291456,155,155,155,155,155
60,7340032,158,0,0,158,157
65,7340032,155,155,155,155,155
70,8388608,19,19,19,19,20
