0,1048576,167530574,165649637,166505640,165171185,166824044
5,1048576,163003872,162974288,162509228,162928321,162921738
10,2097152,331924643,331860917,331802593,330634856,329656161
15,2097152,326207556,325994591,326062782,326001081,326017586
20,3145728,496642526,496844376,499466471,497380129,498708203
25,3145728,489307585,489247664,489238627,489222964,489444945
30,4194304,660740898,660889844,663747847,665552701,665619616
35,4194304,652434864,652443790,652415673,652421033,652222512
40,5242880,834767225,830509094,833628763,832618957,826981766
45,5242880,815588268,815688734,815741579,815966729,815675487
50,6291456,1000558955,1002215478,1000672397,1000711055,993118721
55,6291456,978951940,978823607,978778384,979071594,979021971
60,7340032,4527793,5107247,4026005,4596736,2681469
65,7340032,1142537086,1142516001,1142450266,1142129980,1142577664
70,8388608,172914923,174040049,172447279,166866755,172650002
75,8388608,143490585,143446363,143284133,143856212,143662546
80,9437184,340941985,338970992,337248801,356242750,342556431
85,9437184,307406207,307096690,306979183,307078839,307339517
90,10485760,499034860,499507031,505618690,510215556,503244441
95,10485760,470531014,470502271,470452637,470527458,470230463
100,11534336,668321921,668260290,668562326,671905338,671524897
105,11534336,633876202,634126612,634302439,633929044,633980981
110,12582912,836193364,842107563,842566245,836845997,836211121
115,12582912,797607930,797550329,797460707,797287458,797664758
120,13631488,1005537477,1004809334,1005709639,1002110948,1002653209
125,13631488,961166413,961320158,960970718,961034310,961132692
130,14680064,11128743,12006644,10213613,9334268,14425103
135,14680064,1124455211,1124587904,1124325221,1124423846,1124301876
140,15728640,196988870,190318379,186990104,184499095,179985464
145,15728640,126495143,126490151,126184825,126175549,126364934
150,16777216,335888951,348747739,346945577,343342905,344946303
155,16777216,289949415,289872207,289372582,289798738,289860456
160,17825792,516828129,504353492,518488706,524082023,526114338
165,17825792,453844126,453969731,453390445,453461659,453374567
170,18874368,695492584,717346207,722558572,693768224,685268390
175,18874368,617134201,616761969,616693919,617151726,617087539
180,19922944,856609892,839818740,841039514,844127350,855220673
185,19922944,781582715,781181988,781421313,781665241,781640470
190,20971520,1020160781,1009143361,1030526297,1034736425,1026824055
195,20971520,944849235,944803025,944918866,944756696,945225043
200,22020096,43508188,42845741,53201419,46484450,38275554
205,22020096,1109543797,1109442970,1109303798,1109176568,1109264770
210,23068672,199781599,213738185,212914802,209230834,198037352
215,23068672,110832746,110388518,110702647,110699094,110802244
220,24117248,353095028,361069191,356347528,351421401,365965923
225,24117248,275834983,274817805,274621639,274849677,275041844
230,25165824,519682762,521989967,534554539,523614079,538083388
235,25165824,438255891,439085347,438909235,438782247,438893119
240,26214400,718876291,698566519,697749866,704103041,699316681
245,26214400,603519722,602679512,603788549,603408329,602755122
250,27262976,883623520,882670952,865965919,861054940,862357362
255,27262976,767123091,766230975,766454813,766762431,766576710
260,28311552,1023000038,1007930887,1008764643,1015516685,1012756479
265,28311552,932548591,931861823,932721782,931942587,932647511
270,29360128,38645453,26351898,35651537,35806108,29915317
275,29360128,1095771101,1094273037,1095983914,1094555815,1095800047
280,30408704,206529578,175523193,179361004,184435121,191253779
285,30408704,99251378,98791984,99093685,97400528,98155578
290,31457280,378834984,370068069,367087463,356280956,362667873
295,31457280,262668897,261084600,261942066,261701488,259121421
300,32505856,523141774,521804922,527278449,532493817,550112314
305,32505856,424197383,423559392,423677887,424645486,425951694
310,33554432,693081209,695061941,701798361,687204630,687686154
315,33554432,589610795,589546661,589524636,589188727,589664604
320,34603008,860019024,824089509,829637471,842378845,846115703
325,34603008,754680906,754570534,754535026,754122022,754769684
330,35651584,1022288211,1013731237,1029863408,1037191397,1053722497
335,35651584,918624737,918354145,918397187,918282776,918915144
340,36700160,46416699,39660447,35074178,41382749,37485730
345,36700160,1083931310,1083372027,1083571215,1083327367,1083745470
350,37748736,227135403,214710531,210694267,196340091,206669712
355,37748736,85748300,85066679,85333041,85427432,85248855
360,38797312,379775241,467345024,394130248,383132189,374848257
365,38797312,251359375,251155357,251169281,251359695,250786153
370,39845888,536100913,534076775,537064270,532591908,557163809
375,39845888,413977271,414507092,414053011,414271136,413962987
380,40894464,710604451,732327870,724458290,700536986,708403435
385,40894464,579515374,580550190,580982739,579469160,579628048
