1048576,163003872,162974288,162509228,162928321,162921738
2097152,326207556,325994591,326062782,326001081,326017586
3145728,489307585,489247664,489238627,489222964,489444945
4194304,652434864,652443790,652415673,652421033,652222512
5242880,815588268,815688734,815741579,815966729,815675487
6291456,978951940,978823607,978778384,979071594,979021971
7340032,1142537086,1142516001,1142450266,1142129980,1142577664
8388608,143490585,143446363,143284133,143856212,143662546
9437184,307406207,307096690,306979183,307078839,307339517
10485760,470531014,470502271,470452637,470527458,470230463
11534336,633876202,634126612,634302439,633929044,633980981
12582912,797607930,797550329,797460707,797287458,797664758
13631488,961166413,961320158,960970718,961034310,961132692
14680064,1124455211,1124587904,1124325221,1124423846,1124301876
15728640,126495143,126490151,126184825,126175549,126364934
16777216,289949415,289872207,289372582,289798738,289860456
17825792,453844126,453969731,453390445,453461659,453374567
18874368,617134201,616761969,616693919,617151726,617087539
19922944,781582715,781181988,781421313,781665241,781640470
20971520,944849235,944803025,944918866,944756696,945225043
22020096,1109543797,1109442970,1109303798,1109176568,1109264770
23068672,110832746,110388518,110702647,110699094,110802244
24117248,275834983,274817805,274621639,274849677,275041844
25165824,438255891,439085347,438909235,438782247,438893119
26214400,603519722,602679512,603788549,603408329,602755122
27262976,767123091,766230975,766454813,766762431,766576710
28311552,932548591,931861823,932721782,931942587,932647511
29360128,1095771101,1094273037,1095983914,1094555815,1095800047
30408704,99251378,98791984,99093685,97400528,98155578
31457280,262668897,261084600,261942066,261701488,259121421
32505856,424197383,423559392,423677887,424645486,425951694
33554432,589610795,589546661,589524636,589188727,589664604
34603008,754680906,754570534,754535026,754122022,754769684
35651584,918624737,918354145,918397187,918282776,918915144
36700160,1083931310,1083372027,1083571215,1083327367,1083745470
37748736,85748300,85066679,85333041,85427432,85248855
38797312,251359375,251155357,251169281,251359695,250786153
39845888,413977271,414507092,414053011,414271136,413962987
40894464,579515374,580550190,580982739,579469160,579628048
